order_id,customer_name,product,quantity,unit_price,order_date,region,total_price,month,price_category
30,Charlie,Monitor,1.0,500.0,2024-04-20,West,500.0,April,Medium
31,Charlie,Phone,3.0,750.0,2024-03-04,West,2250.0,March,High
32,Bob,Laptop,2.0,750.0,2024-04-06,West,1500.0,April,High
33,Diana,Monitor,1.0,500.0,2024-03-09,Unknown,500.0,March,Medium
34,Diana,Tablet,1.0,500.0,2024-03-01,West,500.0,March,Medium
35,Frank,Tablet,3.0,750.0,2024-02-17,Unknown,2250.0,February,High
36,Frank,Phone,3.0,750.0,2024-01-19,West,2250.0,January,High
37,Frank,Monitor,2.0,500.0,2024-01-04,East,1000.0,January,Medium
38,Charlie,Laptop,1.0,500.0,2024-02-04,West,500.0,February,Medium
39,Diana,Tablet,1.0,500.0,2024-03-04,Unknown,500.0,March,Medium
40,Diana,Monitor,1.0,500.0,2024-02-18,South,500.0,February,Medium
41,Alice,Monitor,1.0,250.0,2024-01-17,West,250.0,January,Low
42,Charlie,Phone,1.0,500.0,2024-02-13,South,500.0,February,Medium
43,Eve,Tablet,1.0,500.0,2024-04-01,East,500.0,April,Medium
44,Charlie,Tablet,2.0,250.0,2024-01-30,North,500.0,January,Medium
45,Eve,Laptop,1.0,500.0,2024-04-02,East,500.0,April,Medium
46,Alice,Tablet,2.0,250.0,2024-02-15,West,500.0,February,Medium
47,Bob,Laptop,1.0,500.0,2024-04-26,South,500.0,April,Medium
48,Diana,Tablet,1.0,500.0,2024-01-06,South,500.0,January,Medium
49,Alice,Phone,2.0,500.0,2024-04-08,Unknown,1000.0,April,Medium
50,Diana,Tablet,3.0,250.0,2024-04-14,South,750.0,April,Medium
51,Frank,Laptop,2.0,250.0,2024-02-06,Unknown,500.0,February,Medium
52,Bob,Laptop,3.0,500.0,2024-01-24,North,1500.0,January,High
53,Bob,Phone,1.0,750.0,2024-04-02,West,750.0,April,Medium
54,Alice,Tablet,1.0,750.0,2024-04-22,Unknown,750.0,April,Medium
55,Bob,Tablet,1.0,250.0,2024-02-15,North,250.0,February,Low
56,Eve,Phone,1.0,250.0,2024-02-22,South,250.0,February,Low
57,Bob,Tablet,1.0,750.0,2024-04-04,South,750.0,April,Medium
58,Diana,Tablet,3.0,750.0,2024-04-08,North,2250.0,April,High
59,Diana,Laptop,1.0,500.0,2024-02-29,South,500.0,February,Medium
60,Diana,Tablet,2.0,500.0,2024-04-06,North,1000.0,April,Medium
61,Diana,Tablet,2.0,750.0,2024-04-25,Unknown,1500.0,April,High
62,Eve,Phone,1.0,500.0,2024-03-03,Unknown,500.0,March,Medium
63,Charlie,Phone,2.0,500.0,2024-03-25,North,1000.0,March,Medium
64,Frank,Monitor,3.0,500.0,2024-02-01,Unknown,1500.0,February,High
65,Alice,Laptop,1.0,500.0,2024-03-27,Unknown,500.0,March,Medium
66,Diana,Tablet,1.0,250.0,2024-02-02,Unknown,250.0,February,Low
67,Bob,Tablet,1.0,500.0,2024-03-07,East,500.0,March,Medium
68,Diana,Monitor,1.0,500.0,2024-01-18,West,500.0,January,Medium
69,Bob,Tablet,3.0,750.0,2024-01-25,South,2250.0,January,High
70,Frank,Laptop,2.0,250.0,2024-04-15,East,500.0,April,Medium
71,Frank,Monitor,2.0,500.0,2024-04-04,Unknown,1000.0,April,Medium
72,Frank,Laptop,1.0,500.0,2024-02-23,North,500.0,February,Medium
73,Bob,Monitor,1.0,500.0,2024-02-27,Unknown,500.0,February,Medium
74,Diana,Monitor,2.0,500.0,2024-03-07,West,1000.0,March,Medium
75,Frank,Phone,1.0,500.0,2024-04-13,Unknown,500.0,April,Medium
76,Eve,Laptop,2.0,500.0,2024-02-15,North,1000.0,February,Medium
77,Bob,Tablet,1.0,750.0,2024-01-24,West,750.0,January,Medium
78,Bob,Tablet,3.0,500.0,2024-04-23,Unknown,1500.0,April,High
79,Diana,Laptop,1.0,500.0,2024-02-01,West,500.0,February,Medium
80,Bob,Tablet,3.0,250.0,2024-02-16,South,750.0,February,Medium
81,Bob,Tablet,3.0,750.0,2024-03-26,South,2250.0,March,High
82,Frank,Laptop,1.0,250.0,2024-01-23,Unknown,250.0,January,Low
83,Diana,Monitor,3.0,250.0,2024-03-06,West,750.0,March,Medium
84,Frank,Laptop,1.0,500.0,2024-01-27,North,500.0,January,Medium
85,Frank,Monitor,3.0,500.0,2024-04-15,Unknown,1500.0,April,High
86,Diana,Tablet,2.0,500.0,2024-01-02,South,1000.0,January,Medium
87,Alice,Tablet,1.0,500.0,2024-03-30,South,500.0,March,Medium
88,Frank,Tablet,1.0,500.0,2024-01-17,Unknown,500.0,January,Medium
89,Eve,Phone,1.0,500.0,2024-04-13,West,500.0,April,Medium
90,Eve,Monitor,2.0,750.0,2024-02-02,South,1500.0,February,High
91,Bob,Phone,2.0,500.0,2024-01-09,West,1000.0,January,Medium
92,Eve,Phone,2.0,250.0,2024-02-12,South,500.0,February,Medium
93,Bob,Laptop,3.0,250.0,2024-04-27,South,750.0,April,Medium
94,Alice,Phone,3.0,500.0,2024-02-17,East,1500.0,February,High
95,Diana,Laptop,1.0,250.0,2024-02-08,South,250.0,February,Low
96,Diana,Laptop,1.0,500.0,2024-04-02,North,500.0,April,Medium
97,Diana,Phone,1.0,250.0,2024-02-11,Unknown,250.0,February,Low
98,Eve,Monitor,1.0,500.0,2024-04-28,Unknown,500.0,April,Medium
99,Alice,Monitor,1.0,250.0,2024-01-26,West,250.0,January,Low
100,Eve,Monitor,3.0,500.0,2024-04-08,South,1500.0,April,High
